property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_cat,floor catt,price
Flat,sector 102,2.0,2.0,2,Relatively New,1483.0,0,0,0,High,mid,0.97
Flat,sector 79,3.0,2.0,3,Relatively New,1570.0,0,0,0,Low,mid,1.7
Flat,sector 67,3.0,4.0,3,Relatively New,4031.0,1,0,2,High,high,3.4
Flat,sector 1,3.0,3.0,3+,Moderately Old,1945.0,1,0,0,Low,mid,0.85
House,sector 40,3.0,3.0,2,Moderately Old,900.0,0,0,2,Low,lower,2.1
Flat,sector 102,3.0,3.0,3,Relatively New,1676.0,0,0,0,Medium,mid,1.95
House,sector 48,4.0,4.0,1,Moderately Old,7000.0,0,0,0,Low,lower,18.5
Flat,sector 69,3.0,3.0,1,Relatively New,1419.0,0,0,2,Medium,mid,1.32
Flat,sector 68,4.0,4.0,3+,New Property,1809.0,0,0,0,Medium,high,1.7
Flat,sector 33,3.0,2.0,2,Under Construction,1857.0,0,0,0,Medium,high,1.67
House,sector 93,3.0,2.0,1,Relatively New,1152.0,0,0,0,Medium,lower,1.3
Flat,sector 90,4.0,4.0,3+,Relatively New,2000.0,0,0,0,Medium,mid,1.78
House,sector 39,1.0,1.0,1,Relatively New,450.0,0,0,0,Low,lower,0.34
House,sector 109,3.0,4.0,No,Relatively New,2150.0,0,0,0,Low,mid,1.87
Flat,sector 68,2.0,2.0,3+,New Property,1180.0,0,0,2,Low,mid,0.8
Flat,sector 85,3.0,5.0,3,New Property,2179.0,0,0,0,Medium,lower,2.15
Flat,sector 30,2.0,2.0,1,Old Property,734.0,0,0,2,Low,lower,0.85
Flat,sector 112,3.0,3.0,2,Relatively New,2226.0,1,0,2,High,high,3.75
Flat,sector 67a,3.0,3.0,2,Under Construction,2693.0,0,0,0,Low,mid,2.0
Flat,sector 106,1.0,1.0,1,Relatively New,1133.0,0,0,0,Medium,mid,0.39
Flat,sector 37d,2.0,2.0,3,New Property,1100.0,0,0,0,Low,mid,0.71
Flat,sector 108,3.0,4.0,2,Relatively New,2003.0,0,0,0,Medium,mid,2.9
Flat,sector 37c,3.0,3.0,3,Relatively New,1435.0,0,0,0,Medium,mid,0.9
Flat,sector 83,3.0,3.0,1,Moderately Old,3214.0,0,0,2,Medium,mid,1.15
House,sector 43,1.0,1.0,No,Moderately Old,1650.0,0,0,0,Low,lower,2.15
Flat,sector 95,2.0,2.0,2,New Property,1256.0,0,0,0,Medium,mid,0.55
Flat,sector 113,3.0,3.0,3,Relatively New,2013.0,0,0,0,Medium,mid,2.45
Flat,sector 76,3.0,3.0,2,Under Construction,1628.0,0,0,0,Medium,lower,1.92
Flat,sector 103,2.0,2.0,3,Relatively New,2676.0,0,1,2,High,mid,1.01
Flat,sector 61,3.0,3.0,3+,Moderately Old,1595.0,1,0,2,High,high,2.04
Flat,sector 109,3.0,3.0,3,Relatively New,1550.0,0,0,0,Medium,high,1.7
Flat,sector 69,4.0,4.0,2,Relatively New,1819.0,0,0,0,Medium,mid,1.76
Flat,sector 33,3.0,3.0,3,Old Property,1619.0,0,0,0,Medium,lower,1.79
Flat,sector 90,4.0,5.0,2,New Property,4497.0,1,0,0,Medium,mid,1.27
Flat,sector 82,2.0,2.0,2,Relatively New,1298.0,0,0,2,Medium,mid,1.0
Flat,sector 81,2.0,2.0,2,Under Construction,1194.0,0,0,0,Low,lower,0.89
Flat,sector 69,4.0,4.0,2,Relatively New,1819.0,0,0,0,Low,lower,1.9
Flat,sector 109,3.0,3.0,3+,Relatively New,1583.0,0,0,0,Medium,mid,1.4
Flat,sector 59,3.0,1.0,No,Under Construction,2295.0,0,0,0,Low,lower,3.9
Flat,sector 99a,2.0,2.0,3,Relatively New,1430.0,0,0,0,High,lower,1.02
Flat,sector 28,3.0,3.0,2,Old Property,1608.0,1,0,0,Medium,high,2.35
Flat,sector 88a,3.0,3.0,3,Relatively New,1993.0,0,0,0,Low,mid,1.45
Flat,sector 92,4.0,4.0,2,Moderately Old,1583.0,0,1,1,Medium,lower,0.87
Flat,sohna road,2.0,2.0,1,New Property,1045.0,0,0,0,Low,lower,0.36
Flat,sector 89,2.0,3.0,3,Under Construction,998.0,0,0,0,Low,lower,0.86
House,sector 11,2.0,4.0,3+,Moderately Old,900.0,0,0,0,Low,lower,0.9
House,sector 33,2.0,2.0,3,Relatively New,1400.0,0,0,2,Medium,lower,1.15
House,sector 43,4.0,4.0,3+,Moderately Old,540.0,0,0,1,Low,lower,1.65
Flat,sector 108,3.0,4.0,No,Relatively New,2850.0,0,0,0,Low,mid,1.5
Flat,sector 86,3.0,3.0,3+,Relatively New,1780.0,0,0,0,High,high,1.5
Flat,sector 67,3.0,4.0,3,New Property,4032.0,1,0,2,High,mid,3.32
Flat,sector 79,3.0,4.0,3+,Relatively New,2832.0,1,0,2,Medium,mid,1.5
Flat,sector 37d,3.0,3.0,3+,Relatively New,1675.0,0,0,0,High,mid,0.98
Flat,sector 65,2.0,2.0,2,New Property,1185.0,0,0,0,Medium,high,2.1
Flat,sector 92,3.0,2.0,2,Under Construction,1141.0,0,0,0,Low,mid,0.61
Flat,sector 88a,3.0,2.0,3+,Relatively New,1463.0,0,0,1,Low,mid,1.62
House,sector 105,3.0,3.0,1,Moderately Old,1125.0,0,0,0,Low,lower,1.3
Flat,sector 50,3.0,3.0,3+,Moderately Old,2600.0,1,0,2,High,mid,2.97
Flat,sector 102,3.0,3.0,3+,Relatively New,2222.0,1,0,2,Medium,mid,1.98
Flat,sector 113,4.0,4.0,3+,Under Construction,2886.0,1,0,1,Medium,high,2.75
House,sector 67,5.0,3.0,2,New Property,200.0,0,0,0,Low,lower,1.5
Flat,sector 85,4.0,5.0,3+,Under Construction,2013.0,0,0,2,Low,high,2.5
House,sector 43,8.0,8.0,3,Moderately Old,3762.0,1,1,1,High,lower,10.85
Flat,sector 108,3.0,3.0,2,New Property,1711.0,0,0,0,Low,mid,2.6
Flat,sector 93,2.0,2.0,2,New Property,604.0,0,0,0,Low,mid,0.4
Flat,sector 63a,3.0,2.0,2,Under Construction,630.0,0,0,0,Low,,0.42
